step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
8,PAYMENT,1821.38,C373865078,91594.17,89772.79,M262625735,0.0,0.0,0,0
11,DEBIT,298.7,C865120070,160808.63,160509.93,M430275759,0.0,0.0,0,0
18,TRANSFER,8612.05,C669385868,179094.85,170482.8,C341089748,108419.11,117031.16,0,0
23,PAYMENT,1427.8,C886838006,65053.5,63625.7,M397691400,0.0,0.0,0,0
24,PAYMENT,677.71,C661893756,22653.26,21975.55,M994316091,0.0,0.0,0,0
25,CASH_IN,26196.23,C308013459,4406.89,30603.12,C338455273,0.0,0.0,0,0
27,CASH_IN,4942.67,C517419334,56470.69,61413.36,C604035021,0.0,0.0,0,0
29,CASH_OUT,9094.24,C986410941,139398.56,130304.32,M432377131,331512.7,340606.94,0,0
40,CASH_OUT,506.57,C880338263,165201.02,164694.45,M436549414,140577.02,141083.59,0,0
40,PAYMENT,2013.82,C392627125,140235.56,138221.74,M501757065,0.0,0.0,0,0
40,CASH_IN,39984.62,C206910479,34821.84,74806.46,C905864862,0.0,0.0,0,0
43,CASH_OUT,11813.76,C677357895,63626.71,51812.95,M844373732,237495.6,249309.36,0,0
44,CASH_IN,9451.85,C655481918,135071.76,144523.61,C228819836,0.0,0.0,0,0
45,DEBIT,545.91,C438904288,59138.41,58592.5,M997743741,0.0,0.0,0,0
45,CASH_IN,39936.8,C113176195,84492.69,124429.49,C317545166,0.0,0.0,0,0
48,PAYMENT,884.7,C723605880,94043.19,93158.49,M486554907,0.0,0.0,0,0
48,PAYMENT,90.74,C783963667,75564.23,75473.49,M509386988,0.0,0.0,0,0
51,PAYMENT,916.86,C227664147,15873.63,14956.77,M994156942,0.0,0.0,0,0
59,PAYMENT,204.83,C918154137,48243.13,48038.3,M268501197,0.0,0.0,0,0
60,PAYMENT,2368.94,C896636571,37788.57,35419.63,M664052486,0.0,0.0,0,0
60,TRANSFER,4180.92,C693111871,105097.44,100916.52,C779913490,110555.06,114735.98,0,0
63,PAYMENT,1022.7,C771558217,2995.88,1973.18,M453381764,0.0,0.0,0,0
64,CASH_IN,1063.38,C893466704,129893.19,130956.57,C232399656,0.0,0.0,0,0
64,CASH_IN,11022.81,C623190467,47988.03,59010.84,C755723060,0.0,0.0,0,0
70,PAYMENT,1397.94,C283679602,35763.53,34365.59,M403488789,0.0,0.0,0,0
71,DEBIT,139.81,C633201802,132892.8,132752.99,M333257072,0.0,0.0,0,0
71,PAYMENT,1655.74,C563185087,147988.49,146332.75,M775639953,0.0,0.0,0,0
74,PAYMENT,1326.18,C253274245,51252.74,49926.56,M134924313,0.0,0.0,0,0
81,CASH_OUT,11683.55,C522206145,129215.66,117532.11,M728553087,257345.0,269028.55,0,0
82,TRANSFER,1256.15,C769697735,62584.54,61328.39,C886463666,82399.9,83656.05,0,0
89,CASH_OUT,8634.66,C798226942,28450.05,19815.39,M502690483,746366.75,755001.41,0,0
90,PAYMENT,2401.62,C268619255,123337.25,120935.63,M585620267,0.0,0.0,0,0
97,PAYMENT,2140.23,C349875324,12582.36,10442.13,M550164332,0.0,0.0,0,0
98,PAYMENT,1771.59,C340651729,113070.95,111299.36,M902094536,0.0,0.0,0,0
100,PAYMENT,23.83,C695654268,151397.04,151373.21,M381543011,0.0,0.0,0,0
