step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,typology,note
1,CASH_OUT,8424.73,C401716971,178109.51,169684.78,M986770686,459625.76,468050.49,0,0,,
4,PAYMENT,2492.35,C651205694,64044.65,61552.3,M389676152,0.0,0.0,0,0,,
5,PAYMENT,541.18,C543740320,11826.32,11285.14,M107763043,0.0,0.0,0,0,,
6,DEBIT,41.68,C319508873,140344.22,140302.54,M367193084,0.0,0.0,0,0,,
10,CASH_OUT,6036.34,C794463155,96979.77,90943.43,M867963368,669600.19,675636.53,0,0,,
13,CASH_IN,37457.84,C789074153,83260.27,120718.11,C375721478,0.0,0.0,0,0,,
15,DEBIT,1644.14,C490773539,42497.34,40853.2,M524245180,0.0,0.0,0,0,,
18,PAYMENT,516.18,C703603729,48781.59,48265.41,M169213118,0.0,0.0,0,0,,
20,PAYMENT,402.5,C296769063,62467.32,62064.82,M455570751,0.0,0.0,0,0,,
20,CASH_OUT,3979.17,C380908415,29841.5,25862.33,M360481422,340751.08,344730.25,0,0,,
22,TRANSFER,6173.29,C903084799,128739.5,122566.21,C339725383,101993.9,108167.19,0,0,,
26,CASH_OUT,2349.51,C958374244,148748.59,146399.08,M774077840,799241.37,801590.88,0,0,,
27,CASH_OUT,5712.95,C219239367,28927.47,23214.52,M230122304,402416.11,408129.06,0,0,,
30,CASH_IN,33851.52,C556190377,39325.86,73177.38,C385091100,0.0,0.0,0,0,,
33,PAYMENT,1311.76,C240183227,14103.4,12791.64,M812890013,0.0,0.0,0,0,,
41,DEBIT,604.3,C293826051,15647.8,15043.5,M703478308,0.0,0.0,0,0,,
43,CASH_IN,3278.67,C846695376,107865.94,111144.61,C109639328,0.0,0.0,0,0,,
46,CASH_OUT,1863.77,C339668837,92168.26,90304.49,M893516600,850046.8,851910.57,0,0,,
46,CASH_OUT,9706.61,C828149752,86710.56,77003.95,M742630717,73022.04,82728.65,0,0,,
50,CASH_IN,35344.37,C225136815,154834.55,190178.92,C700900077,0.0,0.0,0,0,,
52,CASH_IN,1751.53,C318716344,4460.65,6212.18,C237501313,0.0,0.0,0,0,,
54,PAYMENT,2473.21,C847452908,119395.86,116922.65,M775779370,0.0,0.0,0,0,,
62,DEBIT,289.68,C527915124,42635.96,42346.28,M721313728,0.0,0.0,0,0,,
73,PAYMENT,416.51,C850009515,33908.36,33491.85,M262289090,0.0,0.0,0,0,,
76,TRANSFER,4751.45,C364078064,85324.07,80572.62,C224156465,4588.6,9340.05,0,0,,
86,CASH_OUT,7420.91,C355834295,179997.99,172577.08,M582986132,83911.93,91332.84,0,0,,
88,DEBIT,613.21,C873480321,6176.86,5563.65,M260055965,0.0,0.0,0,0,,
90,CASH_IN,25337.49,C239528505,56618.21,81955.7,C373118594,0.0,0.0,0,0,,
90,PAYMENT,2485.04,C579970696,9983.27,7498.23,M681426079,0.0,0.0,0,0,,
93,CASH_IN,32579.04,C279665516,34122.53,66701.57,C585254779,0.0,0.0,0,0,,
94,PAYMENT,1763.96,C466923636,166923.32,165159.36,M606777502,0.0,0.0,0,0,,
96,PAYMENT,1798.99,C676153892,129947.19,128148.2,M624970877,0.0,0.0,0,0,,
96,PAYMENT,1611.62,C735626053,142084.05,140472.43,M959530368,0.0,0.0,0,0,,
98,TRANSFER,229646.11,C492446642,229646.11,0.0,C224450095,0.0,229646.11,1,0,ACCOUNT_TAKEOVER,Entire balance moved in a single transfer
98,TRANSFER,1449.34,C927031595,60647.02,59197.68,C448824662,83575.45,85024.79,0,0,,
103,PAYMENT,336.21,C151795170,157539.91,157203.7,M197719773,0.0,0.0,0,0,,
104,CASH_OUT,11999.94,C650385427,177023.1,165023.16,M126278490,136006.43,148006.37,0,0,,
106,TRANSFER,1881.99,C429396223,123988.46,122106.47,C410217519,51144.63,53026.62,0,0,,
109,CASH_OUT,1062.81,C111242055,5945.26,4882.45,M557577708,107587.15,108649.96,0,0,,
109,TRANSFER,7921.04,C115455108,129410.55,121489.51,C419665835,86670.82,94591.86,0,0,,
110,TRANSFER,5650.78,C408099434,124589.83,118939.05,C820404392,91254.39,96905.17,0,0,,
113,TRANSFER,2412.9,C336345458,24619.97,22207.07,C324528061,82135.62,84548.52,0,0,,
118,PAYMENT,420.54,C290953447,53709.76,53289.22,M504735470,0.0,0.0,0,0,,
120,CASH_IN,34551.03,C977202103,59621.1,94172.13,C553646223,0.0,0.0,0,0,,
123,CASH_IN,20617.22,C469235489,12568.35,33185.57,C897633584,0.0,0.0,0,0,,
124,CASH_OUT,3832.29,C700813222,136352.52,132520.23,M606990708,359238.75,363071.04,0,0,,
127,PAYMENT,761.63,C312492180,66268.02,65506.39,M869245495,0.0,0.0,0,0,,
129,TRANSFER,7154.08,C985434529,110368.06,103213.98,C597380142,8860.18,16014.26,0,0,,
130,CASH_OUT,5086.31,C831193798,102670.46,97584.15,M491243363,246711.09,251797.4,0,0,,
131,PAYMENT,1406.29,C472371255,22602.84,21196.55,M804662728,0.0,0.0,0,0,,
131,PAYMENT,1220.14,C218380542,129993.57,128773.43,M899941430,0.0,0.0,0,0,,
139,CASH_OUT,10610.71,C460110860,110213.41,99602.7,M916142030,880128.22,890738.93,0,0,,
140,CASH_IN,10435.5,C478419808,82218.3,92653.8,C878285640,0.0,0.0,0,0,,
142,TRANSFER,26773.06,C881064315,26773.06,0.0,C176862427,43276.67,70049.73,1,0,MULE_NETWORK,Spoke 3 of 4 converging on sink C176862427
142,TRANSFER,32097.8,C885153431,32097.8,0.0,C176862427,11178.87,43276.67,1,0,MULE_NETWORK,Spoke 2 of 4 converging on sink C176862427
142,TRANSFER,30769.52,C364227354,30769.52,0.0,C176862427,70049.73,100819.25,1,0,MULE_NETWORK,Spoke 4 of 4 converging on sink C176862427
142,TRANSFER,11178.87,C852591164,11178.87,0.0,C176862427,0.0,11178.87,1,0,MULE_NETWORK,Spoke 1 of 4 converging on sink C176862427
142,TRANSFER,3917.72,C305730467,175958.65,172040.93,C399024304,87524.95,91442.67,0,0,,
142,PAYMENT,554.02,C338059141,138283.55,137729.53,M681281541,0.0,0.0,0,0,,
143,DEBIT,116.59,C629820467,10400.7,10284.11,M611407402,0.0,0.0,0,0,,
143,PAYMENT,529.09,C259008772,24119.93,23590.84,M462825642,0.0,0.0,0,0,,
144,PAYMENT,2251.23,C371997270,117712.31,115461.08,M930552158,0.0,0.0,0,0,,
144,CASH_OUT,100819.25,C176862427,100819.25,0.0,M812000932,0.0,100819.25,1,0,MULE_NETWORK,Sink account emptied after receiving from 4 spokes
145,TRANSFER,5443.92,C219865504,145447.53,140003.61,C355666810,47548.56,52992.48,0,0,,
147,PAYMENT,1020.22,C920902309,76374.16,75353.94,M842405870,0.0,0.0,0,0,,
152,PAYMENT,2405.58,C827809084,110027.1,107621.52,M139076561,0.0,0.0,0,0,,
152,PAYMENT,2001.83,C530599216,23875.01,21873.18,M155957278,0.0,0.0,0,0,,
152,TRANSFER,97345.18,C515340531,98778.21,1433.03,C563794063,0.0,97345.18,1,0,LAYERING,Hop 1 of 5 in the chain
153,TRANSFER,94969.61,C563794063,97345.18,2375.57,C835143039,0.0,94969.61,1,0,LAYERING,Hop 2 of 5 in the chain
153,CASH_OUT,474.69,C459604306,139330.72,138856.03,M354979140,441399.8,441874.49,0,0,,
154,TRANSFER,92136.54,C835143039,94969.61,2833.07,C186227194,0.0,92136.54,1,0,LAYERING,Hop 3 of 5 in the chain
155,TRANSFER,87883.83,C186227194,92136.54,4252.71,C757330370,0.0,87883.83,1,0,LAYERING,Hop 4 of 5 in the chain
156,TRANSFER,84805.68,C757330370,87883.83,3078.15,C784963413,0.0,84805.68,1,0,LAYERING,Hop 5 of 5 in the chain
166,CASH_OUT,2629.01,C786857791,113423.15,110794.14,M722857144,185417.33,188046.34,0,0,,
169,TRANSFER,6985.95,C804652423,19730.33,12744.38,C617102905,38218.82,45204.77,0,0,,
171,PAYMENT,300.99,C310157160,173914.14,173613.15,M520967167,0.0,0.0,0,0,,
172,PAYMENT,1368.7,C277326016,147260.22,145891.52,M746198355,0.0,0.0,0,0,,
175,CASH_IN,12723.19,C206651142,121933.48,134656.67,C747767981,0.0,0.0,0,0,,
180,CASH_OUT,9362.91,C107806116,45854.78,36491.87,M270829794,794181.84,803544.75,0,0,,
189,CASH_IN,35989.53,C458174557,72151.84,108141.37,C301861127,0.0,0.0,0,0,,
189,PAYMENT,2383.14,C600465552,174901.41,172518.27,M500240962,0.0,0.0,0,0,,
192,CASH_OUT,9349.92,C758436237,154968.71,145618.79,M883919111,218273.37,227623.29,0,0,,
196,PAYMENT,2403.84,C692689434,141782.32,139378.48,M223045363,0.0,0.0,0,0,,
199,TRANSFER,4052.35,C130485877,124438.24,120385.89,C971640590,82511.67,86564.02,0,0,,
200,PAYMENT,387.96,C466044666,164658.04,164270.08,M958630510,0.0,0.0,0,0,,
200,PAYMENT,1445.55,C297808849,93182.99,91737.44,M789884273,0.0,0.0,0,0,,
203,DEBIT,1357.29,C221234878,49888.67,48531.38,M350755280,0.0,0.0,0,0,,
204,TRANSFER,9650.64,C347896204,106508.48,96857.84,C450665436,396.36,10047.0,1,0,SMURFING,"Tranche 1 of 10, held below the 10,000 threshold"
205,TRANSFER,9429.84,C347896204,96857.84,87428.0,C450665436,10047.0,19476.84,1,0,SMURFING,"Tranche 2 of 10, held below the 10,000 threshold"
206,TRANSFER,8815.26,C347896204,87428.0,78612.74,C450665436,19476.84,28292.1,1,0,SMURFING,"Tranche 3 of 10, held below the 10,000 threshold"
207,TRANSFER,9576.1,C347896204,78612.74,69036.64,C450665436,28292.1,37868.2,1,0,SMURFING,"Tranche 4 of 10, held below the 10,000 threshold"
